"Apa itu Alokasi Formula?||Bagaimana formula dihitung?||Apa saja faktor formula?","Berdasarkan penduduk, kemiskinan, luas wilayah, dan kesulitan geografis.","Pasal 1 ayat (12)"
"Apa itu IKG Desa?||Indeks kesulitan geografis apa?||IKG itu apa?","Indikator tingkat kesulitan geografis desa.","Pasal 1 ayat (13)"

"Jika sebuah desa memiliki jumlah penduduk tinggi dan tingkat kemiskinan tinggi, bagaimana dampaknya pada alokasi?||Penduduk dan kemiskinan tinggi pengaruhnya apa?||Apakah dua faktor meningkatkan dana?","Keduanya meningkatkan alokasi melalui formula.","Pasal 1 ayat (12)"

"Jika desa kecil tetapi sangat miskin, apakah tetap mendapat tambahan?||Desa kecil tapi miskin bagaimana?||Apakah luas kecil mengurangi?","Tetap mendapat tambahan dari faktor kemiskinan.","Pasal 1 ayat (12)"

"Jika desa luas tetapi jumlah penduduk sedikit, bagaimana dampaknya?||Wilayah besar tapi sedikit warga bagaimana?||Apakah luas tetap dihitung?","Luas wilayah tetap meningkatkan alokasi meskipun penduduk sedikit.","Pasal 1 ayat (12)"

"Jika desa tidak miskin tetapi terpencil, apakah tetap dapat tambahan?||Desa tidak miskin tapi sulit akses bagaimana?||Geografis saja cukup?","Ya, faktor geografis tetap meningkatkan alokasi.","Pasal 1 ayat (12)"

"Jika desa memiliki kinerja terbaik tetapi bukan desa tertinggal, apakah tetap mendapat tambahan?||Kinerja bagus tapi tidak miskin bagaimana?||Apakah tetap dapat bonus?","Ya, melalui alokasi kinerja.","Pasal 1 ayat (11)"

"Jika desa tertinggal tetapi kinerja buruk, apakah tetap mendapat tambahan?||Desa miskin tapi tidak bagus kinerjanya bagaimana?||Apakah tetap dapat afirmasi?","Ya, afirmasi berdasarkan kondisi desa.","Pasal 1 ayat (10)"

"Jika desa memenuhi semua indikator tinggi (penduduk, miskin, luas, geografis), apa dampaknya?||Jika semua faktor tinggi bagaimana?||Apakah dana maksimal?","Akan memperoleh alokasi formula yang lebih besar.","Pasal 1 ayat (12)"

"Apakah semua desa mendapatkan Dana Desa?||Apakah ada desa yang tidak dapat?||Semua desa dapat?","Ya, semua desa menerima Dana Desa.","Pasal 7"

"Apakah Dana Desa selalu sama setiap tahun?||Apakah jumlah tetap?||Apakah berubah?","Tidak, dapat berubah sesuai kebijakan dan perhitungan.","Pasal 7"

"Berapa total Dana Desa tahun 2026?||Total pagu berapa?||Dana Desa 2026 jumlahnya?","Rp60.570.000.000.000.","Pasal 7 ayat (1)"

"Jika pemerintah meningkatkan prioritas nasional desa, apakah Dana Desa bisa berubah?||Apakah kebijakan pusat mempengaruhi dana?||Apakah fleksibel?","Ya, dapat disesuaikan dengan kebijakan pemerintah.","Pasal 5 ayat (3)"

"Jika desa tidak mengikuti prioritas nasional, apakah berdampak?||Apakah harus ikut prioritas nasional?||Apa dampaknya jika tidak?","Dapat mempengaruhi evaluasi dan penganggaran.","Pasal 5 ayat (3)"

"Siapa yang mengusulkan kebutuhan Dana Desa?||Siapa yang menentukan kebutuhan awal?||Siapa yang mulai proses?","KPA BUN Pengelola Dana Desa.","Pasal 5 ayat (1)"

"Siapa yang menyusun indikasi kebutuhan Dana Desa?||Siapa yang finalisasi kebutuhan?||Siapa yang menentukan?","Pemimpin PPA BUN.","Pasal 5 ayat (2)"

"Jika kebutuhan desa meningkat tetapi kemampuan keuangan negara terbatas, apa yang terjadi?||Jika negara tidak mampu bagaimana?||Apakah tetap naik?","Disesuaikan dengan kemampuan keuangan negara.","Pasal 5 ayat (3)"

"Jika terjadi konflik antara kebutuhan desa dan prioritas nasional, mana yang diprioritaskan?||Mana yang lebih penting?||Bagaimana penentuannya?","Keduanya dipertimbangkan bersama dalam penyusunan.","Pasal 5 ayat (3)"

"Jika indikasi kebutuhan terlambat disampaikan, apa dampaknya?||Jika lewat Februari bagaimana?||Apakah bermasalah?","Tidak sesuai ketentuan penganggaran.","Pasal 5 ayat (4)"

"Apakah Dana Desa bagian dari kebijakan fiskal?||Apakah termasuk APBN?||Apakah bagian anggaran negara?","Ya, bagian dari APBN melalui TKD.","Pasal 1 ayat (1)"

"Jika desa ingin meningkatkan Dana Desa, faktor apa yang harus diperbaiki?||Bagaimana menaikkan dana?||Apa strategi?","Meningkatkan kinerja dan indikator formula.","Pasal 1 ayat (11)-(12)"

"Jika desa tidak memahami indikator formula, apa risikonya?||Jika tidak paham perhitungan bagaimana?||Apakah berdampak?","Tidak optimal dalam meningkatkan alokasi.","Pasal 1 ayat (12)"

"Jika desa memiliki data kemiskinan yang tidak akurat, apa dampaknya?||Data salah pengaruhnya apa?||Apakah mempengaruhi dana?","Dapat mempengaruhi hasil alokasi.","Pasal 1 ayat (12)"

"Jika desa ingin fokus meningkatkan dana melalui satu faktor saja, apakah cukup?||Fokus satu indikator cukup?||Apakah harus semua?","Semua faktor tetap diperhitungkan.","Pasal 1 ayat (12)"

pertanyaan||variasi1||variasi2,jawaban,pasal_referensi
"Bagaimana struktur alokasi Dana Desa secara umum?||Dana Desa dibagi jadi apa saja?||Komponen Dana Desa apa saja?","Alokasi dasar, afirmasi, kinerja, dan formula.","Pasal 1 ayat (9)-(12)"

"Berapa persentase alokasi dasar dalam Dana Desa?||Alokasi dasar berapa persen?||Porsi utama Dana Desa berapa?","65% dari pagu Dana Desa yang dihitung sebelum tahun berjalan.","Pasal 7"

"Jika alokasi dasar 65%, apa implikasinya terhadap pemerataan dana?||Apakah alokasi dasar menjamin pemerataan?||Kenapa alokasi dasar besar?","Memberikan distribusi merata ke seluruh desa.","Pasal 1 ayat (9)"

"Jika desa memiliki kinerja buruk tetapi tetap menerima alokasi dasar, apakah hal itu wajar?||Desa buruk tetap dapat dana?||Apakah alokasi dasar tanpa syarat?","Ya, alokasi dasar diberikan ke semua desa.","Pasal 1 ayat (9)"

"Jika desa tidak memenuhi kriteria afirmasi dan kinerja, apakah tetap menerima Dana Desa?||Jika tidak memenuhi apa pun apakah tetap dapat dana?||Apakah minimal tetap ada?","Ya, tetap menerima melalui alokasi dasar dan formula.","Pasal 1 ayat (9) dan (12)"

"Bagaimana hubungan antara alokasi afirmasi dan tingkat kemiskinan?||Apakah kemiskinan mempengaruhi afirmasi?||Desa miskin dapat apa?","Desa dengan penduduk miskin tinggi mendapat alokasi afirmasi.","Pasal 1 ayat (10)"

"Jika desa sangat miskin tetapi tidak termasuk kategori tertinggal secara administratif, apakah tetap dapat afirmasi?||Jika miskin tapi bukan tertinggal bagaimana?||Apakah tetap dihitung?","Harus memenuhi kriteria afirmasi sesuai ketentuan.","Pasal 1 ayat (10)"

"Jika desa memenuhi dua kriteria afirmasi (miskin dan rawan bencana), apakah mendapatkan dua kali alokasi?||Apakah afirmasi bisa dobel?||Jika dua faktor terpenuhi bagaimana?","Tidak dobel, tetapi memperkuat peluang mendapatkan afirmasi.","Pasal 1 ayat (10)"

"Bagaimana alokasi kinerja diberikan?||Kinerja desa dinilai bagaimana?||Apa syarat dapat alokasi kinerja?","Diberikan kepada desa dengan kinerja terbaik.","Pasal 1 ayat (11)"

"Jika desa memiliki kinerja tinggi tetapi tingkat kemiskinan rendah, apakah tetap mendapat tambahan dana?||Kinerja bagus tapi tidak miskin bagaimana?||Apakah tetap dapat lebih?","Ya, melalui alokasi kinerja.","Pasal 1 ayat (11)"

"Jika desa miskin dan berkinerja tinggi, apakah mendapatkan dua keuntungan?||Apakah bisa dapat afirmasi dan kinerja?||Apakah dua faktor bisa digabung?","Ya, dapat memperoleh dari afirmasi dan kinerja.","Pasal 1 ayat (10)-(11)"

"Bagaimana interaksi antara alokasi formula dan alokasi lainnya?||Apakah formula berdiri sendiri?||Apakah formula tambahan?","Formula melengkapi alokasi dasar, afirmasi, dan kinerja.","Pasal 1 ayat (12)"

"Jika desa memiliki nilai tinggi di semua indikator formula, apa dampaknya?||Jika semua faktor tinggi bagaimana?||Apakah dapat dana besar?","Mendapat alokasi formula lebih besar.","Pasal 1 ayat (12)"

"Jika desa memiliki jumlah penduduk tinggi tetapi tingkat kemiskinan rendah, bagaimana hasilnya?||Penduduk tinggi tapi tidak miskin bagaimana?||Apakah tetap dapat lebih?","Tetap mendapat tambahan dari faktor jumlah penduduk.","Pasal 1 ayat (12)"

"Jika desa memiliki kemiskinan tinggi tetapi jumlah penduduk kecil, bagaimana hasilnya?||Miskin tapi sedikit penduduk bagaimana?||Apakah tetap besar?","Tetap mendapat tambahan dari faktor kemiskinan.","Pasal 1 ayat (12)"

"Jika desa luas wilayah besar tetapi akses mudah, bagaimana pengaruhnya?||Wilayah besar tapi tidak sulit bagaimana?||Apakah tetap tinggi?","Luas wilayah tetap meningkatkan alokasi.","Pasal 1 ayat (12)"

"Jika desa kecil tetapi sangat terpencil, apakah mendapat tambahan besar?||Kecil tapi sulit akses bagaimana?||Apakah geografis dominan?","Ya, faktor geografis meningkatkan alokasi.","Pasal 1 ayat (12)"

"Jika dua desa memiliki jumlah penduduk sama tetapi kondisi geografis berbeda, mana yang mendapat lebih?||Desa sulit vs mudah bagaimana?||Mana lebih besar?","Desa dengan kesulitan geografis lebih tinggi mendapat lebih.","Pasal 1 ayat (12)"

"Jika dua desa memiliki tingkat kemiskinan sama tetapi luas wilayah berbeda, mana yang lebih besar alokasinya?||Luas besar vs kecil bagaimana?||Mana lebih tinggi?","Desa dengan wilayah lebih luas mendapat tambahan.","Pasal 1 ayat (12)"

"Jika desa memiliki semua indikator rendah, apa dampaknya?||Jika semua faktor kecil bagaimana?||Apakah dana kecil?","Alokasi formula relatif lebih kecil.","Pasal 1 ayat (12)"

"Bagaimana pengaruh Indeks Kesulitan Geografis (IKG) terhadap alokasi?||Apakah IKG penting?||IKG mempengaruhi apa?","IKG mempengaruhi alokasi melalui faktor geografis.","Pasal 1 ayat (13)"

"Jika IKG tinggi, apakah dana otomatis lebih besar?||IKG tinggi berarti apa?||Apakah pasti naik?","Ya, meningkatkan alokasi formula.","Pasal 1 ayat (13)"

"Jika IKG rendah, apakah desa dirugikan?||Apakah desa mudah dapat lebih sedikit?||Apakah IKG rendah berdampak?","Tidak dirugikan, tetapi alokasi geografis lebih kecil.","Pasal 1 ayat (13)"

"Bagaimana peran kebijakan pemerintah dalam alokasi Dana Desa?||Apakah pusat bisa intervensi?||Apakah fleksibel?","Sebagian Dana Desa dialokasikan untuk kebijakan pemerintah.","Pasal 7 ayat (1)"

"Jika pemerintah menetapkan kebijakan baru di tengah tahun, apakah alokasi bisa berubah?||Apakah bisa disesuaikan?||Apakah fleksibel?","Ya, sesuai kebijakan pemerintah.","Pasal 7 ayat (1)"

"Jika terjadi perubahan data desa setelah perhitungan awal, apakah alokasi berubah?||Data berubah bagaimana?||Apakah update mempengaruhi?","Dapat mempengaruhi perhitungan selanjutnya.","Pasal 7"

"Jika desa ingin memaksimalkan Dana Desa, faktor mana paling strategis?||Apa faktor utama?||Apa yang harus difokuskan?","Meningkatkan kinerja dan indikator formula.","Pasal 1 ayat (11)-(12)"

"Jika desa hanya fokus pada pembangunan fisik tanpa meningkatkan kinerja administratif, apakah optimal?||Fokus fisik saja cukup?||Apakah kinerja penting?","Tidak optimal karena kinerja mempengaruhi alokasi.","Pasal 1 ayat (11)"

"Jika desa memiliki data tidak valid pada indikator kemiskinan, apa dampaknya?||Data salah pengaruhnya apa?||Apakah bisa rugi?","Dapat mempengaruhi hasil alokasi.","Pasal 1 ayat (12)"

"Jika desa ingin meningkatkan alokasi afirmasi, apa yang harus dipenuhi?||Bagaimana dapat afirmasi?||Apa syarat afirmasi?","Memenuhi kriteria desa tertinggal atau berisiko tinggi.","Pasal 1 ayat (10)"

"Jika desa berkembang menjadi desa maju, apakah afirmasi hilang?||Jika status naik bagaimana?||Apakah tetap dapat?","Dapat kehilangan alokasi afirmasi.","Pasal 1 ayat (10)"

"Jika desa memiliki kinerja buruk selama beberapa tahun, apa dampaknya?||Kinerja rendah terus bagaimana?||Apakah berpengaruh jangka panjang?","Tidak mendapatkan alokasi kinerja.","Pasal 1 ayat (11)"

"Jika desa ingin mengejar alokasi kinerja, apa yang harus diperbaiki?||Bagaimana meningkatkan kinerja?||Apa indikatornya?","Meningkatkan kinerja pengelolaan dan pelaporan.","Pasal 1 ayat (11)"

"Jika dua desa memiliki kondisi identik, apakah alokasi sama?||Apakah bisa sama persis?||Apakah pasti sama?","Ya, jika semua indikator sama.","Pasal 1 ayat (12)"

"Jika ada perbedaan kecil dalam satu indikator, apakah berdampak signifikan?||Perbedaan kecil berpengaruh?||Apakah sensitif?","Dapat mempengaruhi hasil perhitungan.","Pasal 1 ayat (12)"

pertanyaan||variasi1||variasi2,jawaban,pasal_referensi
"Bagaimana mekanisme penyaluran Dana Desa secara umum?||Alur penyaluran Dana Desa bagaimana?||Dana Desa disalurkan lewat apa?","Penyaluran dilakukan melalui KPPN menggunakan OM-SPAN TKD ke rekening desa.","Pasal 3 ayat (2)-(3)"

"Siapa yang bertanggung jawab melakukan penyaluran Dana Desa?||Siapa yang mencairkan Dana Desa?||Siapa pelaksana penyaluran?","KPA BUN Penyaluran Dana Desa yaitu Kepala KPPN.","Pasal 2 ayat (1)"

"Melalui sistem apa penyaluran Dana Desa dilakukan?||Aplikasi apa untuk penyaluran?||Penyaluran pakai apa?","Menggunakan Aplikasi OM-SPAN TKD.","Pasal 3 ayat (3)"

"Jika dokumen penyaluran tidak lengkap, apa yang terjadi?||Jika syarat belum lengkap bagaimana?||Apakah tetap cair?","Penyaluran tidak dilakukan sampai dokumen lengkap.","Pasal 3 ayat (2)"

"Jika dokumen lengkap tetapi tidak sesuai format, apa dampaknya?||Format salah bagaimana?||Apakah tetap diproses?","Dapat ditolak dalam proses verifikasi.","Pasal 3 ayat (2)"

"Jika terjadi kesalahan data rekening desa, apa yang terjadi?||Rekening salah bagaimana?||Apakah dana tetap masuk?","Terjadi retur penyaluran.","Pasal 3 ayat (2)"

"Jika terjadi retur, apa langkah selanjutnya?||Dana gagal salur bagaimana?||Apa yang harus dilakukan setelah retur?","Retur diselesaikan dan dilakukan penyaluran kembali.","Pasal 3 ayat (2)"

"Siapa yang menyelesaikan retur penyaluran?||Siapa menangani dana gagal?||Retur diurus siapa?","KPA BUN Penyaluran Dana Desa.","Pasal 3 ayat (2)"

"Jika dana sudah dikirim tetapi tidak masuk ke RKD, apa kemungkinan penyebabnya?||Status cair tapi belum masuk kenapa?||Kenapa dana tidak diterima?","Kemungkinan terjadi retur akibat kesalahan data.","Pasal 3 ayat (2)"

"Jika desa terlambat memperbaiki kesalahan rekening, apa dampaknya?||Perbaikan lambat bagaimana?||Apakah dana tetap tertahan?","Penyaluran tertunda sampai diperbaiki.","Pasal 3 ayat (2)"

"Jika dokumen benar tetapi data di sistem berbeda, apa yang terjadi?||Data mismatch bagaimana?||Perbedaan data berdampak apa?","Dapat menghambat proses verifikasi dan penyaluran.","Pasal 3 ayat (2)"

"Jika desa sudah memenuhi syarat tetapi belum diverifikasi, apakah dana bisa cair?||Belum diverifikasi bisa cair?||Verifikasi wajib?","Tidak, harus melalui verifikasi terlebih dahulu.","Pasal 3 ayat (2)"

"Jika verifikasi sudah selesai tetapi dana belum cair, apa penyebabnya?||Sudah lolos tapi belum cair kenapa?||Kenapa delay?","Karena proses penyaluran mengikuti jadwal dan sistem.","Pasal 3 ayat (2)"

"Jika terjadi gangguan sistem OM-SPAN, apakah penyaluran berhenti?||Sistem error bagaimana?||Apakah tetap jalan?","Penyaluran tergantung sistem namun tetap dikelola oleh pihak terkait.","Pasal 3 ayat (3)"

"Jika desa tidak mengirim dokumen sama sekali, apa yang terjadi?||Tidak kirim syarat bagaimana?||Apakah dana tetap cair?","Penyaluran tidak dilakukan.","Pasal 3 ayat (2)"

"Jika desa mengirim dokumen sebagian, apa dampaknya?||Dokumen sebagian bagaimana?||Apakah tetap diproses?","Tidak diproses sampai lengkap.","Pasal 3 ayat (2)"

"Jika desa mengirim dokumen terlambat, apa dampaknya?||Telat kirim bagaimana?||Apakah tetap cair?","Penyaluran dapat tertunda.","Pasal 3 ayat (2)"

"Jika desa sudah menerima dana tetapi terjadi kesalahan administrasi, apakah berpengaruh ke tahap berikutnya?||Kesalahan setelah cair bagaimana?||Apakah berdampak ke pencairan berikutnya?","Ya, dapat mempengaruhi penyaluran berikutnya.","Pasal 3 ayat (1)"

"Jika desa tidak melaporkan penggunaan dana sebelumnya, apa dampaknya pada penyaluran berikutnya?||Tidak lapor bagaimana?||Apakah dana berikutnya tertahan?","Penyaluran dapat ditunda atau dihentikan.","Pasal 3 ayat (1)"

"Jika desa melakukan kesalahan berulang dalam penyaluran, apa konsekuensinya?||Error terus menerus bagaimana?||Apakah ada sanksi lebih berat?","Dapat dikenakan penundaan, pemotongan, atau penghentian.","Pasal 3 ayat (1)"

"Jika desa sudah diperbaiki setelah penundaan, apakah dana langsung cair?||Setelah perbaikan apakah langsung?||Apakah perlu proses lagi?","Harus melalui verifikasi ulang sebelum penyaluran.","Pasal 3 ayat (2)"

"Jika desa mengalami retur berulang, apa yang harus dianalisis?||Kenapa sering retur?||Apa yang harus dicek?","Validitas data dan kesesuaian dokumen.","Pasal 3 ayat (2)"

"Jika desa menggunakan rekening yang sudah tidak aktif, apa yang terjadi?||Rekening mati bagaimana?||Apakah dana tetap masuk?","Terjadi retur.","Pasal 3 ayat (2)"

"Jika desa mengganti rekening tanpa update data, apa dampaknya?||Ganti rekening tapi tidak update bagaimana?||Apakah bermasalah?","Penyaluran gagal dan terjadi retur.","Pasal 3 ayat (2)"

"Jika data desa di pusat dan daerah berbeda, bagaimana dampaknya?||Data tidak sinkron bagaimana?||Apakah mempengaruhi pencairan?","Menghambat verifikasi dan penyaluran.","Pasal 3 ayat (2)"

"Jika desa ingin mempercepat penyaluran, apa langkah paling efektif?||Bagaimana biar cepat cair?||Apa yang harus dilakukan?","Memastikan dokumen lengkap dan valid sejak awal.","Pasal 3 ayat (2)"

"Jika desa hanya fokus pada kelengkapan dokumen tetapi tidak memperhatikan validitas, apakah cukup?||Dokumen lengkap tapi salah bagaimana?||Apakah tetap cair?","Tidak cukup, harus valid dan sesuai.","Pasal 3 ayat (2)"

"Jika desa mengalami keterlambatan sistematis setiap tahun, apa yang harus diperbaiki?||Selalu telat bagaimana?||Apa masalah utama?","Perbaikan administrasi dan data.","Pasal 3 ayat (2)"

"Jika penyaluran dilakukan melalui pemotongan dari kabupaten/kota, apa artinya?||Pemotongan itu apa?||Dana lewat mana?","Dana disalurkan melalui mekanisme transfer dari kabupaten/kota ke desa.","Pasal 3 ayat (2)"

"Jika desa menerima dana dari hasil pemotongan tersebut, apakah langsung ke RKD?||Dana langsung masuk desa?||Apakah lewat daerah?","Ya, disalurkan ke RKD.","Pasal 3 ayat (2)"

"Jika desa tidak memiliki RKD yang valid, apa yang terjadi?||Rekening tidak valid bagaimana?||Apakah bisa cair?","Penyaluran tidak dapat dilakukan.","Pasal 3 ayat (2)"

"Jika desa ingin memastikan tidak terjadi retur, apa langkah preventif utama?||Bagaimana mencegah retur?||Apa kunci utama?","Validasi data rekening dan dokumen.","Pasal 3 ayat (2)"

"Jika desa mengalami penundaan akibat kesalahan kecil, apakah tetap harus diperbaiki?||Kesalahan kecil perlu diperbaiki?||Apakah bisa diabaikan?","Ya, harus diperbaiki agar penyaluran dapat dilakukan.","Pasal 3 ayat (2)"

"Jika desa ingin memastikan status penyaluran secara real-time, bagaimana caranya?||Bagaimana monitoring?||Apakah bisa dicek?","Melalui sistem OM-SPAN TKD.","Pasal 3 ayat (3)"

"Jika desa tidak memiliki akses langsung ke sistem, bagaimana monitoring dilakukan?||Tidak bisa akses sistem bagaimana?||Bagaimana cek status?","Melalui laporan dan koordinasi dengan pihak terkait.","Pasal 3 ayat (2)"

"Jika terjadi kesalahan dalam laporan penyaluran, apa dampaknya?||Laporan salah bagaimana?||Apakah mempengaruhi dana?","Dapat mempengaruhi evaluasi dan penyaluran.","Pasal 3 ayat (2)"

"Jika laporan tidak disampaikan, apa konsekuensinya?||Tidak lapor bagaimana?||Apakah dana tetap cair?","Penyaluran dapat ditunda atau dihentikan.","Pasal 3 ayat (1)"

pertanyaan||variasi1||variasi2,jawaban,pasal_referensi
"Apa saja bentuk sanksi dalam penyaluran Dana Desa?||Jenis sanksi Dana Desa apa saja?||Apa konsekuensi pelanggaran?","Penundaan, pemotongan, dan penghentian penyaluran.","Pasal 3 ayat (1)"

"Apa perbedaan penundaan dan penghentian penyaluran?||Bedanya ditunda dan dihentikan apa?||Apakah sama?","Penundaan bersifat sementara, penghentian menghentikan penyaluran sampai kondisi terpenuhi.","Pasal 3 ayat (1)"

"Apa perbedaan pemotongan dan penghentian?||Dana dipotong vs dihentikan apa bedanya?||Mana lebih berat?","Pemotongan mengurangi jumlah dana, penghentian menghentikan penyaluran.","Pasal 3 ayat (1)"

"Jika desa terlambat menyampaikan dokumen, sanksi apa yang paling mungkin?||Telat dokumen kena apa?||Apakah langsung dihentikan?","Penundaan penyaluran.","Pasal 3 ayat (1)"

"Jika desa tidak menyampaikan dokumen sama sekali, apa sanksinya?||Tidak kirim dokumen bagaimana?||Apakah tetap ditunda?","Dapat berujung penghentian penyaluran.","Pasal 3 ayat (1)"

"Jika desa melakukan kesalahan administratif ringan, apakah langsung kena penghentian?||Kesalahan kecil langsung dihentikan?||Apakah ada tahapan?","Biasanya penundaan terlebih dahulu.","Pasal 3 ayat (1)"

"Jika desa melakukan pelanggaran serius, apa sanksinya?||Pelanggaran berat bagaimana?||Apakah langsung dihentikan?","Dapat dikenakan penghentian penyaluran.","Pasal 3 ayat (1)"

"Jika desa melakukan kesalahan berulang, apakah sanksi meningkat?||Kesalahan berulang bagaimana?||Apakah makin berat?","Ya, dapat meningkat dari penundaan ke pemotongan atau penghentian.","Pasal 3 ayat (1)"

"Jika desa sudah pernah ditunda lalu tetap tidak memperbaiki, apa yang terjadi?||Tidak diperbaiki setelah ditunda bagaimana?||Apa langkah berikutnya?","Dapat dikenakan penghentian.","Pasal 3 ayat (1)"

"Jika desa sudah diperbaiki setelah penghentian, apakah dana bisa kembali?||Setelah dihentikan bisa cair lagi?||Apakah bisa lanjut?","Ya, dapat disalurkan kembali setelah memenuhi ketentuan.","Pasal 3 ayat (1)"

"Siapa yang memberikan rekomendasi sanksi penyaluran?||Siapa yang mengusulkan sanksi?||Siapa yang menentukan awal sanksi?","KPA BUN Pengelola Dana Desa.","Pasal 3 ayat (1)"

"Apakah sanksi diberikan langsung tanpa evaluasi?||Apakah ada proses dulu?||Apakah langsung dihukum?","Tidak, melalui proses evaluasi dan verifikasi.","Pasal 3 ayat (1)"

"Jika desa tidak melaporkan penggunaan dana, apa sanksinya?||Tidak lapor bagaimana?||Apa akibatnya?","Penundaan atau penghentian penyaluran.","Pasal 3 ayat (1)"

"Jika desa melaporkan tetapi datanya tidak valid, apa dampaknya?||Laporan salah bagaimana?||Data tidak valid bagaimana?","Dapat dikenakan penundaan atau pemotongan.","Pasal 3 ayat (1)"

"Jika desa melakukan manipulasi data, apa konsekuensinya?||Data dimanipulasi bagaimana?||Apakah berat?","Dapat dikenakan penghentian penyaluran.","Pasal 3 ayat (1)"

"Jika desa mengalami pemotongan, apakah seluruh dana hilang?||Dipotong berarti hilang semua?||Apakah nol?","Tidak, hanya sebagian dana dikurangi.","Pasal 3 ayat (1)"

"Jika desa mengalami penundaan, apakah dana hilang?||Ditunda apakah hilang?||Apakah tetap ada?","Tidak, hanya ditunda sampai syarat terpenuhi.","Pasal 3 ayat (1)"

"Jika desa mengalami penghentian, apakah dana tahun berjalan hilang?||Dihentikan berarti hangus?||Apakah bisa diklaim lagi?","Tidak disalurkan sampai ketentuan dipenuhi.","Pasal 3 ayat (1)"

"Jika desa terkena pemotongan karena kesalahan sebelumnya, apakah bisa dipulihkan?||Dana dipotong bisa kembali?||Apakah bisa normal lagi?","Tidak, pemotongan mengurangi jumlah dana.","Pasal 3 ayat (1)"

"Jika desa ingin menghindari pemotongan, apa langkah utama?||Bagaimana agar tidak dipotong?||Apa yang harus dijaga?","Memastikan kepatuhan dan akurasi data.","Pasal 3 ayat (1)"

"Jika desa mengalami penundaan di awal tahun, apakah mempengaruhi tahap berikutnya?||Penundaan awal berdampak?||Apakah berantai?","Ya, dapat menghambat penyaluran tahap berikutnya.","Pasal 3 ayat (1)"

"Jika desa terkena penghentian, apakah tetap mendapat alokasi tahun berikutnya?||Apakah berdampak ke tahun depan?||Apakah jangka panjang?","Dapat mempengaruhi jika kinerja atau kepatuhan buruk.","Pasal 3 ayat (1)"

"Jika desa memperbaiki kesalahan setelah pemotongan, apakah dana dikembalikan?||Setelah perbaikan dana balik?||Apakah bisa recover?","Tidak, pemotongan bersifat final.","Pasal 3 ayat (1)"

"Jika desa melakukan kesalahan kecil tetapi sering terjadi, apa dampaknya?||Kesalahan kecil berulang bagaimana?||Apakah dianggap serius?","Dapat dianggap pelanggaran serius dan dikenakan sanksi lebih berat.","Pasal 3 ayat (1)"

"Jika desa tidak memahami aturan tetapi melanggar, apakah tetap dikenakan sanksi?||Tidak tahu aturan bagaimana?||Apakah tetap kena?","Ya, tetap dikenakan sanksi.","Pasal 3 ayat (1)"

"Jika desa ingin memastikan tidak terkena sanksi, apa langkah utama?||Bagaimana menghindari sanksi?||Apa kunci utama?","Memenuhi semua persyaratan dan ketentuan.","Pasal 3 ayat (1)"

